len_in_sec,sr,num_hops,SIG_RAW,BAK_RAW,OVR_RAW,SIG,BAK,OVR,file_path
2.382625,16000,1,4.0233917,2.726766,2.8964112,3.5578349887706033,3.012752750859857,2.7092328609958423,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_327.wav
3.027875,16000,3,4.1817217,2.6408021,2.900922,3.6418248895115215,2.9344430235696257,2.712427514140076,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_253.wav
1.7328125,16000,4,3.5242949,3.8994367,3.1879742,3.2647899135052283,3.876492603605996,2.914393631404597,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_165.wav
1.7626875,16000,5,3.719963,3.3539472,3.0609062,3.384531401750851,3.518900128731654,2.8262738531675717,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_159.wav
2.615875,16000,1,4.331152,3.4400752,3.5063548,3.7176503477188887,3.581384219853336,3.1253580043683455,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_284.wav
3.5298125,16000,5,4.153932,2.6066875,2.8995662,3.6275204945377384,2.903755193538447,2.7114666628455533,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_207.wav
1.8731875,16000,5,3.8383102,3.2673726,3.104516,3.4535003589672377,3.455609868111489,2.856777253769743,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_290.wav
1.580125,16000,3,3.667907,3.5306225,3.111026,3.353260660113474,3.6414759776938648,2.8613365751820816,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_398.wav
2.394375,16000,1,3.966385,3.5755577,3.3603415,3.5264860303277614,3.67424593985268,3.0303260667763356,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_079.wav
1.9684375,16000,6,4.113526,4.243971,3.7710552,3.606247484348065,4.061460335871344,3.2902144570819707,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_086.wav
1.608,16000,3,4.0534635,2.6943464,2.9021282,3.573974113212809,2.9831818236204217,2.713337936577988,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_125.wav
3.0540625,16000,3,4.290626,3.5995798,3.644352,3.6974490854333184,3.6898239931892345,3.2125208396568112,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_131.wav
1.2375625,16000,1,3.6856587,4.0620346,3.38612,3.3641487652408446,3.9678454085178005,3.0473136036482424,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_045.wav
1.4131875,16000,2,3.818417,2.4893904,2.7347493,3.441135075486645,2.7930923001032983,2.589952833727465,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_373.wav
2.0493125,16000,7,1.3215916,1.0791682,1.09986,1.4663592663294962,1.1867140474241502,1.1906123143767402,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_171.wav
2.6615625,16000,1,3.9639578,3.9230087,3.570533,3.5251392158663934,3.8903004400825294,3.1662153034778227,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_039.wav
3.1679375,16000,3,3.8756132,3.9286823,3.5009365,3.47524908986419,3.892630765959676,3.1216211541386962,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_119.wav
1.7411875,16000,4,3.605516,3.741676,3.182691,3.3153318680758974,3.7813613523078846,2.910805658770382,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_247.wav
1.3905625,16000,2,3.181096,2.0866776,2.1543322,3.037647246454572,2.388303816029838,2.13484583065805,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_429.wav
2.4295625,16000,1,3.7745214,3.3853574,3.1408918,3.4169676156500777,3.5425095314161785,2.8820717715358795,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_428.wav
3.244375,16000,3,3.7547038,2.8264866,2.852884,3.405153650257038,3.0999864739282685,2.677496240744171,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_367.wav
1.968,16000,6,3.7654545,1.9654745,2.3367875,3.41155499585307,2.257924627811003,2.2831274087038604,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_092.wav
5.1079375,16000,1,3.7017488,4.074609,3.4137366,3.3738108770692325,3.9746079671644683,3.065412550681039,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_011.wav
2.260625,16000,1,3.9426758,3.955009,3.531355,3.51328734633999,3.9086003055933825,3.1413398984367293,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_078.wav
1.47625,16000,2,3.60736,1.8938141,2.222611,3.3165051668252654,2.178792249756535,2.190889144627733,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_051.wav
1.9773125,16000,6,3.8490875,1.9941126,2.3756742,3.4598818145648518,2.2891341400619427,2.3140135189867195,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_415.wav
1.3833125,16000,2,3.5684085,1.7654932,2.0927439,3.2922088487958705,2.0344964248473034,2.084057257080467,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_044.wav
2.7849375,16000,2,3.9611545,2.942917,3.0456505,3.523228738526008,3.1978835131692174,2.815168173112361,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_399.wav
1.6984375,16000,4,3.5906343,2.4576652,2.5416403,3.3032474424693614,2.7620525199664296,2.4431883316821352,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_213.wav
2.5395625,16000,1,1.2756797,1.1472783,1.0938724,1.425990279111738,1.2767944912282725,1.1852389824541039,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_246.wav
1.774,16000,5,4.157991,3.1914642,3.2979476,3.6296689161630993,3.3977332498027044,2.9886858334303312,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_401.wav
2.97,16000,2,4.022098,2.964638,3.1116903,3.5570579191662746,3.2165897253060516,2.861806467861976,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_252.wav
1.733375,16000,4,3.9617376,2.7238328,2.8556008,3.5238615645162246,3.009939767288073,2.6794856561288007,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_050.wav
1.43575,16000,2,3.1173406,3.6047907,2.6924253,2.994972276261284,3.693636731217049,2.558799215271678,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_158.wav
2.286125,16000,1,3.899128,3.7268925,3.3375309,3.488798574014871,3.7722578539680107,3.015219279063134,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_291.wav
3.3651875,16000,4,3.9514961,3.2583776,3.2018287,3.518035734463103,3.4485112936541062,2.9235938300210904,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_366.wav
1.9954375,16000,6,3.7329502,3.0417564,2.9320886,3.3923659156602857,3.280273909617548,2.734925164797801,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_333.wav
2.3696875,16000,1,3.754413,3.2963889,3.0981798,3.4051314939362527,3.4776179340610183,2.852459071963935,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_010.wav
2.4646875,16000,1,4.1221433,3.0070212,3.1488175,3.6108484039786206,3.2521448987077926,2.887539627928211,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_130.wav
1.8469375,16000,5,3.9313366,2.7729285,2.889351,3.506928073605085,3.053288254554176,2.7040509413192217,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_414.wav
1.9045625,16000,6,4.2656627,3.636798,3.6151536,3.684847809707847,3.7120602713259263,3.1936010945596567,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_400.wav
1.4909375,16000,2,4.1361065,3.0537434,3.1845808,3.6181841539100383,3.289567230640194,2.9120101540415337,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_124.wav
3.41725,16000,4,4.022028,3.9573812,3.593272,3.556557445122466,3.9088857686474086,3.180012893595395,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_164.wav
2.57825,16000,1,3.7943857,2.6041222,2.728174,3.428593355687786,2.9014848815399175,2.5855971307789014,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_212.wav
2.5125625,16000,1,3.9526024,2.301296,2.537511,3.5188248870794268,2.6097832692121044,2.4408509345103857,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_210.wav
1.6506875,16000,4,4.0508003,2.3454874,2.715735,3.572634902723128,2.6533537729808097,2.5760545028604005,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_326.wav
2.01,16000,7,3.8350315,3.191454,3.0850356,3.4521218901203268,3.3983469124456382,2.843284603756811,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_372.wav
1.9781875,16000,6,4.117386,3.8337488,3.586463,3.607929916923578,3.837306590514649,3.1761701131899627,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_087.wav
3.269,16000,4,4.0915637,3.3763204,3.3471437,3.594488792797902,3.533992043065158,3.0213555244138943,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_038.wav
2.96625,16000,2,4.0845337,3.4787955,3.4483514,3.5907927339829646,3.607771339600686,3.0878164278412767,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p257_206.wav
2.22125,16000,8,4.36745,3.013788,3.2467473,3.735381864660534,3.2575366127340293,2.954322267485273,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_093.wav
2.390875,16000,1,3.8790426,3.2343159,3.0852416,3.477396432295917,3.431108840672928,2.8434401091913752,/Users/azam/Desktop/Thesis/speech_quality_assessment/data/vctk_data/noisy_testset_wav_16k/p232_318.wav
